t,state,state_idx
0,"[3510,4095]",6
1,"[3510,4095]",6
2,"[3510,4095]",6
3,"[3510,4095]",6
4,"[3510,4095]",6
5,"[3510,4095]",6
6,"[3510,4095]",6
7,"[3510,4095]",6
8,"[3510,4095]",6
9,"[3510,4095]",6
10,"[3510,4095]",6
11,"[3510,4095]",6
12,"[3510,4095]",6
13,"[3510,4095]",6
14,"[3510,4095]",6
15,"[3510,4095]",6
16,"[3510,4095]",6
17,"[3510,4095]",6
18,"[3510,4095]",6
19,"[3510,4095]",6
20,"[3510,4095]",6
21,"[3510,4095]",6
22,"[3510,4095]",6
23,"[3510,4095]",6
24,"[3510,4095]",6
25,"[3510,4095]",6
26,"[3510,4095]",6
27,"[3510,4095]",6
28,"[3510,4095]",6
29,"[3510,4095]",6
30,"[3510,4095]",6
31,"[3510,4095]",6
32,"[0,585)",0
33,"[0,585)",0
34,"[0,585)",0
35,"[0,585)",0
36,"[0,585)",0
37,"[0,585)",0
38,"[0,585)",0
39,"[0,585)",0
40,"[0,585)",0
41,"[0,585)",0
42,"[0,585)",0
43,"[0,585)",0
44,"[0,585)",0
45,"[0,585)",0
46,"[0,585)",0
47,"[0,585)",0
48,"[0,585)",0
49,"[0,585)",0
50,"[0,585)",0
51,"[3510,4095]",6
52,"[1755,2340)",3
53,"[1170,1755)",2
54,"[1170,1755)",2
55,"[1755,2340)",3
56,"[3510,4095]",6
57,"[3510,4095]",6
58,"[3510,4095]",6
59,"[3510,4095]",6
60,"[3510,4095]",6
61,"[3510,4095]",6
62,"[3510,4095]",6
63,"[3510,4095]",6
64,"[3510,4095]",6
65,"[3510,4095]",6
66,"[3510,4095]",6
67,"[1170,1755)",2
68,"[1170,1755)",2
69,"[1170,1755)",2
70,"[1755,2340)",3
71,"[3510,4095]",6
72,"[3510,4095]",6
73,"[3510,4095]",6
74,"[3510,4095]",6
75,"[3510,4095]",6
76,"[1755,2340)",3
77,"[1170,1755)",2
78,"[1170,1755)",2
79,"[1170,1755)",2
80,"[1170,1755)",2
81,"[1170,1755)",2
82,"[1755,2340)",3
83,"[1755,2340)",3
84,"[3510,4095]",6
85,"[3510,4095]",6
86,"[3510,4095]",6
87,"[3510,4095]",6
88,"[3510,4095]",6
89,"[3510,4095]",6
90,"[3510,4095]",6
91,"[3510,4095]",6
92,"[1170,1755)",2
93,"[3510,4095]",6
94,"[3510,4095]",6
95,"[3510,4095]",6
96,"[3510,4095]",6
97,"[3510,4095]",6
98,"[3510,4095]",6
99,"[3510,4095]",6
100,"[3510,4095]",6
101,"[3510,4095]",6
102,"[3510,4095]",6
103,"[3510,4095]",6
104,"[3510,4095]",6
105,"[3510,4095]",6
106,"[3510,4095]",6
107,"[3510,4095]",6
108,"[3510,4095]",6
109,"[0,585)",0
